"","year","state","office","district","state_po","win_party","white","black","asian","hispanic","male","female","age_18_55","age_55_plus","interM","domesM","farm_E_I","nonfarm_E","personal","win_ratio","win_R"
"1",2018,"Alabama","US House",1,"AL",2,0.676434109164566,0.278707194632087,0.015431654626961,0.0332260244028457,0.480889279933778,0.51983433584269,0.457263498928966,0.315825394802301,538,2760,0.00884009249332788,0.991159907506672,37427.5,0.631563328208658,0.368436671791342
"2",2018,"Alabama","US House",2,"AL",2,0.706713853317811,0.255010942956927,0.0102295692665891,0.0385564610011642,0.487949708963911,0.513503143189756,0.46657601862631,0.309301047729919,308,-1066,0.0337355974036761,0.966264402596324,37872,0.613884100251956,0.386115899748044
"3",2018,"Alabama","US House",3,"AL",2,0.621179767857361,0.337363016854937,0.019728682041425,0.0334511479989829,0.483146728672048,0.518104705146869,0.486189256324071,0.293723842867882,909,478,0.0123168454697933,0.987683154530207,36465.3846153846,0.637173102214173,0.362826897785827
"4",2018,"Alabama","US House",4,"AL",2,0.836591109218068,0.125658488571485,0.00809827838480229,0.0594013519567621,0.488882660481417,0.511824656107309,0.469631731921496,0.309801355487828,646,994,0.0298672881977136,0.970132711802286,36232.6,0.797747749698011,0.202252250301989
"5",2018,"Alabama","US House",5,"AL",2,0.766787914820763,0.181007942373409,0.0181541929703596,0.0535102097551778,0.490079258583365,0.510710712363871,0.479243995050983,0.30316167292175,668,6010,0.0140202473864156,0.985979752613584,42033.8,0.610201286669505,0.389798713330495
"6",2018,"Alabama","US House",6,"AL",2,0.641542799884351,0.32437947791785,0.0167442938108195,0.0479238699507701,0.478546590148482,0.521815801876517,0.479190182542606,0.291881032441017,792,-1154,0.00426788108414134,0.995732118915859,40526.5,0.691780920352965,0.308219079647035
"7",2018,"Alabama","US House",7,"AL",1,0.50019708409759,0.465388577602452,0.0180453654614438,0.0357915713962662,0.473997462247795,0.526540396743637,0.48737719540692,0.287486808713787,1166,-6519,0.00689847479033932,0.993101525209661,37758.8571428571,0.978045389426051,0.978045389426051
"8",2018,"Alaska","US House",0,"AK",2,0.664260070336538,0.038647022824122,0.0665884522859375,0.0735417295342954,0.522434930241609,0.479327713554872,0.506788293789007,0.246323125040541,714,-10809,0.00362790465221411,0.996372095347786,65856.7083333333,0.530818737906055,0.469181262093945
"9",2018,"Arizona","US House",1,"AZ",1,0.701677567496595,0.033837153203989,0.0154529187964507,0.232994399965801,0.511355794539203,0.489203598189913,0.46744468668511,0.298298004873312,539,15382,0.053617763564342,0.946382236435658,36304.6666666667,0.538316127310787,0.538316127310787
"10",2018,"Arizona","US House",2,"AZ",1,0.85242462154923,0.0421465822273241,0.0320482559664306,0.373227053264716,0.494247032369848,0.5069241120756,0.465219503596411,0.325830098068299,1456,9580,0.00430812935848637,0.995691870641514,41963,0.54733607114689,0.54733607114689
